,Ano,População residente,Superfície em km2,Densidade populacional,Jovens (%),População em idade activa (%),Idosos (%),Índice de envelhecimento,População estrangeira (2),População estrangeira em % da população residente (2),Nascimentos (3),Óbitos,Taxa de mortalidade infantil (‰),Diferença entre os nascimentos e os óbitos,Casamentos,Divórcios,Hospitais,Farmácias (1),Alojamentos familiares clássicos,Edifícios novos concluídos para habitação familiar,Estabelecimentos do ensino pré-escolar,Estabelecimentos do 1.º ciclo do ensino básico,Estabelecimentos do 2.º ciclo do ensino básico,Estabelecimentos do 3.º ciclo do ensino básico,Estabelecimentos do ensino secundário,Alunos do ensino não superior (5),Estabelecimentos do ensino superior,Alunos do ensino superior (5),Museus,Sessões de espectáculos ao vivo,Ecrãs de cinema,Despesas da Câmara Municipal em cultura e desporto (%),Empresas não financeiras (4),Pessoal ao serviço nas empresas não financeiras (4),Pessoal ao serviço nas quatro maiores empresas do município (%),Volume de negócios das quatro maiores empresas do município (%),"Ganho médio mensal dos trabalhadores por conta de outrem, €","Bancos, Caixas Económicas",Caixas de Crédito Agrícola Mútuo,Caixas automáticas multibanco,Pensões da Segurança Social,Pensões da Caixa Geral de Aposentações,Pensões da Segurança Social e da CGA em % da população residente,Beneficiários do Rendimento Social de Inserção (RSI),Desempregados inscritos nos centros de emprego,Desempregados inscritos nos centros de emprego em % da população residente,Trabalhadores da Administração Pública Local,Despesas da Câmara Municipal (7),Receitas da Câmara Municipal (8),Saldo financeiro da Câmara Municipal,Transferências recebidas no total das receitas da Câmara Municipal (%),Crimes registados pelas polícias por mil habitantes,Consumo de energia eléctrica por habitante (kWh),Resíduos urbanos recolhidos selectivamente por habitante (kg),Despesas do município em ambiente (%),Alojamentos turísticos (6)
Tavira ,2010,26168,0,0,13.8,62,24.2,176,3505,13.4,0,343,0,-107,77,54,0,11,25298,96,14,11,2,3,1,3865,0,0,0,134,6,11.6,3204,6549,7,10,843,13,7,58,7414,1318,39,1200,1146,7,530,27775.5,27694.8,-81,36.5,47.2,4454.1,158.4,7,16
Tavira ,2019,24640,0,40.6,13.1,60.5,26.4,201,6275,25.5,200,347,5,-147,58,55,0,11,25857,46,15,10,2,2,1,3625,0,0,1,141,6,0,0,0,0,0,0,7,6,42,6984,1544,40,195,508,3,427,0,0,0,0,43.5,0,232.2,0,42
Terras de Bouro ,2010,7353,0,0,13.6,62.3,24.1,177,25,0.3,0,106,0,-62,27,10,0,3,4810,11,8,4,2,2,2,1189,0,0,1,0,0,3.3,565,1152,16,33,812,2,2,6,2619,392,48,167,420,9,234,9420.1,9911.1,491,83.2,35.1,2939.5,37.5,2,18
Terras de Bouro ,2019,6383,0,23,10.3,62.9,26.9,262,64,1,31,87,0,-56,17,7,0,3,4902,0,7,4,2,2,1,719,0,0,1,2,0,0,0,0,0,0,0,1,2,7,2338,385,48,66,248,6,211,0,0,0,0,26.3,0,106.7,0,60
Tomar ,2010,40911,0,0,13.2,62.2,24.7,187,764,1.9,0,495,0,-188,141,85,1,13,26205,64,34,34,3,5,3,7710,2,2674,0,7,1,8.2,4092,9361,7,18,887,18,3,46,14265,2697,48,1351,1830,7,574,25332.6,26441.3,1109,63.5,35,4242,32.2,10,10
Tomar ,2019,36825,0,104.9,10.5,62.1,27.4,261,987,2.7,208,530,0,-322,113,70,1,13,26448,16,23,20,3,5,3,5418,2,1708,1,26,1,0,0,0,0,0,0,9,2,37,13529,3061,50,744,823,4,490,0,0,0,0,28.4,0,79.3,0,24
Tondela ,2010,29165,0,0,12.2,61,26.7,218,188,0.6,0,387,0,-236,119,51,1,13,17637,72,31,23,4,6,3,4476,0,0,1,0,1,6.4,2601,7531,17,36,919,14,2,33,9840,1282,44,652,897,5,335,21068.8,21921.5,853,76.2,28.9,3718,25.6,5,5
Tondela ,2019,26453,0,71.3,9.9,60.2,30,304,261,1,132,391,0,-259,83,38,1,13,17948,24,24,11,4,6,3,3326,0,0,2,131,0,0,0,0,0,0,0,9,1,30,9325,1370,45,318,462,3,316,0,0,0,0,23.4,0,41.8,0,9
Torre de Moncorvo ,2010,8681,0,0,9.1,56.8,34,372,99,1.1,0,131,0,-87,8,20,0,3,7328,7,12,4,1,1,1,983,0,0,1,0,0,11.8,759,1657,23,58,1072,3,2,7,3590,646,54,122,523,11,251,10626.9,11721.9,1095,81.7,46.7,2911.2,34.7,4,2
Torre de Moncorvo ,2019,7706,0,14.5,7.7,56.2,36.1,471,104,1.3,43,132,0,-89,9,10,0,3,7365,5,8,1,1,1,1,619,0,0,1,2,1,0,0,0,0,0,0,3,2,7,2779,656,48,148,334,8,168,0,0,0,0,30.8,0,38.8,0,11
